country/territory,date,sexual violence,rate
Tajikistan,2010,197,2.863939469
Tajikistan,2011,201,2.88091171
The former Yugoslav Republic of Macedonia,2003,NA,NA
The former Yugoslav Republic of Macedonia,2004,NA,NA
The former Yugoslav Republic of Macedonia,2005,NA,NA
The former Yugoslav Republic of Macedonia,2006,146,7.146035101
The former Yugoslav Republic of Macedonia,2007,145,7.080347787
The former Yugoslav Republic of Macedonia,2008,155,7.551677837
The former Yugoslav Republic of Macedonia,2009,136,6.612312807
The former Yugoslav Republic of Macedonia,2010,124,6.017772813
The former Yugoslav Republic of Macedonia,2011,126,6.104967651
Trinidad and Tobago,2003,NA,NA
Trinidad and Tobago,2004,633,48.29767851
Trinidad and Tobago,2005,803,61.04671937
Trinidad and Tobago,2006,803,60.81407554
Trinidad and Tobago,2007,901,67.96552994
Trinidad and Tobago,2008,779,58.52566414
Trinidad and Tobago,2009,804,60.16392424
Trinidad and Tobago,2010,767,57.17629606
Trinidad and Tobago,2011,709,52.66089798
Turkey,2003,2858,4.308146559
Turkey,2004,2893,4.302759148
Turkey,2005,3020,4.43184444
Turkey,2006,3300,4.778208727
Turkey,2007,2056,2.937446925
Turkey,2008,1850,2.608435851
Turkey,2009,NA,NA
Turkey,2010,NA,NA
Turkey,2011,NA,NA
Uganda,2003,NA,NA
Uganda,2004,NA,NA
Uganda,2005,14101,49.59691471
Uganda,2006,17046,58.03831911
Uganda,2007,32305,106.476967
Uganda,2008,10365,33.07339211
Uganda,2009,8646,26.71164208
Uganda,2010,8645,25.86411964
Uganda,2011,NA,NA
Ukraine,2003,2180,4.575671724
Ukraine,2004,1988,4.205160205
Ukraine,2005,1929,4.110909132
Ukraine,2006,2114,4.537279384
Ukraine,2007,1898,4.100932372
Ukraine,2008,1995,4.337750141
Ukraine,2009,1698,3.714316151
Ukraine,2010,1348,2.966005637
Ukraine,2011,NA,NA
United Kingdom (England and Wales),2003,48732,NA
United Kingdom (England and Wales),2004,47542,NA
United Kingdom (England and Wales),2005,47163,NA
United Kingdom (England and Wales),2006,43738,NA
United Kingdom (England and Wales),2007,41521,NA
United Kingdom (England and Wales),2008,40749,NA
United Kingdom (England and Wales),2009,43432,NA
United Kingdom (England and Wales),2010,45271,NA
United Kingdom (England and Wales),2011,44394,NA
United Kingdom (Northern Ireland),2003,1461,NA
United Kingdom (Northern Ireland),2004,1262,NA
United Kingdom (Northern Ireland),2005,1410,NA
United Kingdom (Northern Ireland),2006,1496,NA
United Kingdom (Northern Ireland),2007,1448,NA
United Kingdom (Northern Ireland),2008,1579,NA
United Kingdom (Northern Ireland),2009,1501,NA
United Kingdom (Northern Ireland),2010,1632,NA
United Kingdom (Northern Ireland),2011,1668,NA
United Kingdom (Scotland),2003,NA,NA
United Kingdom (Scotland),2004,7324,NA
United Kingdom (Scotland),2005,6558,NA
United Kingdom (Scotland),2006,6726,NA
United Kingdom (Scotland),2007,6552,NA
United Kingdom (Scotland),2008,6331,NA
United Kingdom (Scotland),2009,6527,NA
United Kingdom (Scotland),2010,6696,NA
United Kingdom (Scotland),2011,7359,NA
Yemen,2003,NA,NA
Yemen,2004,NA,NA
Yemen,2005,0,0
Yemen,2006,71,0.333520136
Yemen,2007,54,0.246047408
Yemen,2008,81,0.357985813
Yemen,2009,72,0.308639144
Yemen,2010,NA,NA
Yemen,2011,NA,NA
